attendance_pct,study_hours,previous_pct,internal_marks,mid_term_marks,project_marks,viva_marks,performance_category
45.1,3.5,93.3,9.4,30.0,6.9,7.8,Average
99.2,6.0,45.2,20.0,16.4,20.0,5.9,Good
62.5,6.9,77.0,11.1,25.1,12.6,8.9,Good
62.2,8.5,64.4,10.7,29.3,12.2,9.4,Good
88.8,2.9,87.7,15.3,23.7,13.2,6.2,Good
96.8,1.1,49.7,15.6,21.2,13.2,6.7,Good
99.2,2.2,78.1,18.1,21.6,14.8,5.1,Good
85.2,9.1,86.1,19.0,30.0,16.4,9.1,Excellent
62.6,8.9,92.0,13.0,30.0,18.2,9.0,Excellent
45.0,6.4,77.6,9.2,29.3,14.8,6.5,Average
86.6,6.4,67.3,15.4,23.3,17.9,5.7,Good
73.5,7.0,74.0,10.9,26.6,11.5,7.4,Good
65.5,2.6,87.8,14.6,27.1,13.4,7.5,Good
94.4,9.2,71.4,17.0,25.2,19.4,6.1,Excellent
46.7,4.8,41.7,9.6,19.5,12.8,6.3,Average
69.6,4.4,91.2,19.8,27.8,19.9,8.2,Excellent
40.7,5.7,77.9,9.7,26.3,10.7,7.4,Average
68.1,1.4,77.2,11.7,20.5,11.2,5.4,Average
43.4,2.5,51.9,8.7,10.3,10.5,4.6,Needs Improvement
47.1,7.6,76.2,12.4,27.6,18.2,9.6,Good
47.1,1.7,61.7,10.3,27.0,11.7,7.3,Average
79.0,6.4,75.8,12.0,29.5,15.8,7.8,Good
84.8,3.2,45.9,17.6,17.0,16.4,5.7,Average
75.0,4.5,76.2,12.9,24.9,16.6,6.9,Good
97.7,3.6,95.0,20.0,29.7,19.0,8.3,Excellent
62.5,4.2,42.7,14.5,18.7,13.0,6.4,Average
57.1,7.5,93.7,10.7,28.9,16.8,6.3,Good
92.1,3.7,62.4,19.4,24.9,19.2,8.5,Good
53.4,6.1,87.9,11.1,30.0,12.6,8.6,Good
97.8,5.3,83.0,19.4,30.0,17.8,8.1,Excellent
40.7,7.0,71.2,10.1,27.7,13.8,7.8,Average
98.2,9.4,80.6,16.0,30.0,19.8,8.5,Excellent
42.6,7.6,88.3,8.1,30.0,12.6,6.8,Average
93.5,2.9,62.2,19.1,22.7,17.7,8.2,Good
71.7,1.3,58.0,13.1,17.5,15.3,5.4,Average
99.6,3.4,76.7,17.1,23.1,18.1,7.2,Good
44.4,6.4,84.4,7.8,29.5,11.6,9.3,Average
73.2,1.5,81.9,14.8,29.3,15.1,7.3,Good
98.2,5.5,83.9,20.0,24.6,17.2,7.6,Excellent
71.4,6.4,64.0,11.6,19.7,14.7,5.7,Average
77.8,4.0,85.0,14.7,27.9,18.3,8.8,Good
81.7,7.9,46.6,18.1,21.2,19.0,4.2,Good
67.3,2.0,69.9,12.9,22.6,10.5,6.5,Average
77.7,1.7,40.3,15.6,15.2,12.6,4.2,Average
75.1,7.6,57.9,12.1,22.8,12.8,7.1,Good
94.1,5.5,60.2,18.0,26.9,16.3,8.2,Good
42.7,7.2,61.8,9.0,19.4,11.9,5.1,Average
56.9,4.9,78.3,13.5,24.0,11.6,6.3,Average
97.0,3.2,61.4,19.9,20.6,17.9,6.0,Good
93.4,8.4,64.7,20.0,20.9,20.0,5.3,Excellent
67.3,8.2,53.1,14.3,22.3,15.1,7.4,Good
77.2,7.3,60.5,15.2,28.9,20.0,7.9,Good
56.6,3.4,52.5,11.9,18.9,13.4,2.8,Average
51.3,6.3,44.0,10.0,19.7,14.8,5.6,Average
67.8,4.2,73.2,13.9,20.9,12.9,5.2,Average
61.2,1.8,76.8,11.6,21.8,12.9,4.8,Average
75.0,9.3,74.1,14.6,27.8,15.6,6.7,Good
44.7,2.2,65.5,12.3,20.2,13.8,6.2,Average
98.5,9.6,60.9,15.8,29.7,19.1,9.8,Excellent
99.2,5.0,87.5,20.0,30.0,20.0,8.8,Excellent
